date,open,close,volume,yield,beta,p_e,roe,roa
2025-01-31,1345.5,1307.0,29970505,-0.02716784518049875,,38.3,14.5  %,0.6  %
2025-02-07,1304.0,1265.0,20259646,-0.032134659525631215,,38.3,14.5  %,0.6  %
2025-02-14,1282.0,1306.0,26479867,0.032411067193675924,,38.3,14.5  %,0.6  %
2025-02-21,1329.5,1339.5,10085247,0.025650842266462526,,38.3,14.5  %,0.6  %
2025-02-28,1339.5,1418.5,26171622,0.05897723030981705,,38.3,14.5  %,0.6  %
2025-03-07,1428.5,1450.5,15460520,0.022559041240747257,,38.3,14.5  %,0.6  %
2025-03-14,1464.0,1419.5,6358002,-0.021371940710099957,,38.3,14.5  %,0.6  %
2025-03-21,1421.5,1463.5,12966698,0.030996829869672338,,38.3,14.5  %,0.6  %
2025-03-28,1461.0,1224.5,11243586,-0.16330714041680905,,38.3,14.5  %,0.6  %
2025-04-04,1232.5,1116.0,17904871,-0.08860759493670889,,38.3,14.5  %,0.6  %
2025-04-11,1129.5,1136.0,18492428,0.017921146953405076,,38.3,14.5  %,0.6  %
2025-04-18,1140.5,1157.0,11409402,0.01848591549295775,,38.3,14.5  %,0.6  %
2025-04-25,1179.0,1283.0,15616482,0.10890233362143475,,38.3,14.5  %,0.6  %
2025-05-02,1288.5,1107.5,7807675,-0.13678877630553388,,38.3,14.5  %,0.6  %
2025-05-09,1108.0,1180.5,9192359,0.06591422121896162,,38.3,14.5  %,0.6  %
2025-05-16,1185.0,1134.0,10835372,-0.03939008894536211,,38.3,14.5  %,0.6  %
2025-05-23,1133.0,1127.5,6607122,-0.005731922398589107,,38.3,14.5  %,0.6  %
2025-05-30,1120.0,1197.0,10292526,0.06164079822616397,,38.3,14.5  %,0.6  %
2025-06-06,1201.0,1203.5,20778860,0.005430242272347563,,38.3,14.5  %,0.6  %
2025-06-13,1203.5,1186.0,6859772,-0.014540922309929427,,38.3,14.5  %,0.6  %
2025-06-20,1188.5,1122.5,7355271,-0.053541315345699836,,38.3,14.5  %,0.6  %
2025-06-27,1119.5,1164.0,7102093,0.03697104677060126,,38.3,14.5  %,0.6  %
2025-07-04,1167.0,1232.0,13786911,0.05841924398625431,,38.3,14.5  %,0.6  %
2025-07-11,1235.0,1169.0,10600901,-0.051136363636363646,,38.3,14.5  %,0.6  %
2025-07-18,1174.5,1357.0,14471138,0.16082121471343025,,38.3,14.5  %,0.6  %
2025-07-25,1362.5,1263.5,20449972,-0.06890198968312455,,38.3,14.5  %,0.6  %
